Name,Rating,Review Title,Review Date,Review Content
alex logan,5.0 out of 5 stars,The future of gaming,Reviewed in the United Kingdom on 9 December 2020,"As a gamer who typically plays on Xbox, I was apprehensive about getting the Playstation 5. Knowing it was slightly under-powered I bought it anyway as I wanted to play my favourite series - Ratchet and Clank. Before I even downloaded any games, I was extremely happy with the feel of the new DualSense controller.The included Astros Playroom game is absolutely wonderful and I got the platinum trophy on it in the first day, without even looking at the other games I downloaded such as Sackboys big adventure. The controller was shown off to its full potential here, allowing you to feel which surface your character runs on, or how far you need to pull back a bow.The console is fast, quiet and a huge step up from the PS4. Buy one if you can!"
Stuart,5.0 out of 5 stars,5.0 out of 5 stars,Reviewed in the United Kingdom on 20 November 2020,Verified Purchase
SoYouWantMoore,5.0 out of 5 stars,Next gen champion,Reviewed in the United Kingdom on 29 January 2021,"Props to Amazon, delivered by 10am on launch day. The controller is the best thing about the console. WRC 9 and Astro’s Playroom are my recommendations for early next gen experience.Still waiting on Sony to release the VRR patch and announce the expandable storage. 825gb just isn’t enough! Oh, and it’s the ugliest console I’ve ever seen.That said, I love it!"
Michael,1.0 out of 5 stars,Farce,Reviewed in the United Kingdom on 19 November 2020,25 people found this helpful
ben hooper,5.0 out of 5 stars,Great console.,Reviewed in the United Kingdom on 10 December 2020,"Shipped very quickly, set up was a doddle. Even tho people state the xbox is easier to set up, that's not the case. It's exactly the same as the series x. Power it on, open your PS app on your phone and follow instructions. Easy peasy.Very happy with the console, I recommend you try Days Gone since it's been patched for ps5. It's amazing.Only downside is that it's absolutely massive. Had to take a shelf out of my unit and it dwarfs the series x.Would have been better if it was black too, it's not meant to stand out as a focal point."
Ken,5.0 out of 5 stars,No problems whatsoever so far,Reviewed in the United Kingdom on 26 November 2020,"Other people have done proper reviews; you know it's powerful, quiet, fast, amazing controller, etc etc. I just wanted to point out that I haven't had any issues since I received this on launch day (yes, lucky me) even though I've used it extensively. I haven't had the Rest Mode issue that seems to be common, although a firmware update was released a couple of days ago, so that might have fixed it. The hardware is one hell of a generational leap over the PS4, that's for sure.If I had to nitpick and find a problem, the power controls for shut down and rest mode are a bit hard to navigate to. Also, the stand is not the easiest to attach, and it might frustrate some young children. I'm quite literally struggling to find faults here."
Amazon Customer,5.0 out of 5 stars,Excellent Console,Reviewed in the United Kingdom on 12 April 2021,"It’s now been 2 weeks since I took delivery of my console and I’m delighted with it. I have completed Spider-Man Miles Morales and found the graphics and gameplay to be most enjoyable. I’ve now started playing hitman 3 and have been enjoying that also. As mentioned in other reviews, the machine is very large in size, but is also very powerful.  The fan is silent and the only noise comes from the disc drive, which is to be expected. I believe that the capability of the console will only be realised when there’s more games available and game developers start to get to grips with it’s real potential. Overall, I’m really happy with the purchase so far, and I’m looking forward to playing it in years to come."
Well Read,5.0 out of 5 stars,Best Quality Yet,Reviewed in the United Kingdom on 20 November 2020,"Delivered for normal price having pre-ordered. Easy to set up, no issues, can use old PS4 simultaneously on same account in the house which is good. Very very quiet compared to old PS4 and graphics brilliant. Probably not enough games out there to really get a sense of what its capable of, so if you don't have one right now you are not missing out in any way. Worth it when it does come back into stock. No bugs yet!"
Bradley Marlow,1.0 out of 5 stars,Faulty unit. Had to return,Reviewed in the United Kingdom on 28 January 2021,I was looking forward to this so much but arrived faulty. Couldn't progress past the initial setup and nothing from the Sony website seemed to fix it. Constant freezing.  Gutted to have had to return it.
Mr D.Pollard,5.0 out of 5 stars,Next Gen is here! (or not?),Reviewed in the United Kingdom on 19 November 2020,"The PlayStation 5 is everything gamers wanted — and more. While storage space is a real concern and Sony’s long-term view of industry shifts is questionable, there’s no denying that this is a true next-generation machine. It makes existing games more fun, and has several strong launch titles.Is there a better alternative?No. For holiday 2020, at least, the PS5 beats the competition handily, and makes the PS4 seem almost archaic.How long will it last?Expect a long life from this system. The biggest hurdle is the shift to cloud-based gaming. If that happens quicker than industry insiders expect, Sony could have a hard time keeping up.Should you buy one?Yes, absolutely. The PlayStation 5 is a game system that lives up to the next-generation label.**Updated Review**as of 20th of Nov my console still isn't here but an empty box was simply left at the back door on the garden wall, trying to get assistance with Amazon"
